Klucz klienta,Klucz Geograficzny,Imię,Nazwisko,Data urodzenia,Stan cywilny,Płeć,Ilość dzieci
24434.0,635.0,Jordan,Butler,1954-02-08 00:00:00,M,M,3.0
24435.0,536.0,Mariah,Hughes,1953-10-26 00:00:00,M,F,3.0
24436.0,326.0,Jennifer,Hernandez,1953-01-20 00:00:00,M,F,3.0
24437.0,345.0,Nicole,Blue,1953-07-07 00:00:00,S,F,3.0
24438.0,626.0,Xavier,Robinson,1952-10-11 00:00:00,M,M,3.0
24439.0,616.0,Xavier,Watson,1951-02-12 00:00:00,M,M,3.0
24440.0,336.0,Jordyn,Hughes,1951-03-10 00:00:00,M,F,3.0
24441.0,648.0,Tristan,Bryant,1951-09-25 00:00:00,S,M,3.0
24442.0,488.0,Briana,Gutierrez,1951-10-15 00:00:00,M,F,3.0
24443.0,307.0,Edgar,Suri,1951-08-27 00:00:00,M,M,3.0
24444.0,326.0,Elijah,Griffin,1951-07-26 00:00:00,S,M,3.0
24445.0,383.0,Lauren,Brooks,1951-10-05 00:00:00,M,F,4.0
24446.0,299.0,Brianna,Robinson,1951-04-13 00:00:00,M,F,4.0
24447.0,298.0,Cody,Morgan,1949-06-10 00:00:00,M,M,4.0
24448.0,623.0,Amanda,Lopez,1949-04-08 00:00:00,M,F,4.0
24449.0,347.0,Melanie,Simmons,1949-11-19 00:00:00,M,F,4.0
24450.0,638.0,Isabel,Long,1949-06-12 00:00:00,M,F,4.0
24451.0,637.0,Bailey,Morgan,1949-07-23 00:00:00,M,F,4.0
24452.0,609.0,Megan,Coleman,1949-02-13 00:00:00,M,F,4.0
24453.0,10.0,Cassie,Yuan,1964-03-25 00:00:00,S,F,4.0
24454.0,22.0,Carol,Zhou,1964-07-18 00:00:00,S,F,4.0
24455.0,33.0,Alejandro,Chander,1964-09-11 00:00:00,M,M,4.0
24456.0,13.0,Danny,Ruiz,1964-02-21 00:00:00,S,M,4.0
24457.0,7.0,Meghan,Alonso,1963-02-26 00:00:00,S,F,3.0
24458.0,40.0,Frederick,Rodriguez,1963-06-21 00:00:00,S,M,0.0
24459.0,21.0,Kristin,Carson,1962-05-22 00:00:00,S,F,1.0
24460.0,27.0,Willie,Nara,1962-11-15 00:00:00,S,M,1.0
24461.0,18.0,Ruth,Sai,1962-08-07 00:00:00,S,F,1.0
24462.0,19.0,Donald,Fernandez,1962-08-26 00:00:00,S,M,1.0
24463.0,6.0,Kristen,Zheng,1930-06-18 00:00:00,M,F,1.0
24464.0,10.0,Joanna,Torres,1966-07-04 00:00:00,S,F,0.0
24465.0,35.0,Tara,Andersen,1960-04-08 00:00:00,M,F,1.0
24466.0,21.0,Alexa,Travers,1960-08-04 00:00:00,M,F,1.0
24467.0,14.0,Susan,He,1960-05-27 00:00:00,S,F,1.0
24468.0,33.0,Whitney,Patel,1965-10-01 00:00:00,S,F,0.0
24469.0,14.0,Roger,Andersen,1965-06-02 00:00:00,S,M,5.0
24470.0,16.0,Clarence,Lal,1965-06-11 00:00:00,M,M,5.0
24471.0,33.0,Ricardo,Chande,1964-06-03 00:00:00,S,M,0.0
24472.0,11.0,Jake,He,1964-10-23 00:00:00,S,M,0.0
24473.0,19.0,Marco,Rana,1964-03-26 00:00:00,S,M,0.0
24474.0,18.0,Rosa,Guo,1963-03-26 00:00:00,S,F,0.0
24475.0,32.0,Gilbert,Zhou,1963-06-15 00:00:00,S,M,0.0
24476.0,33.0,Jared,Brooks,1961-03-19 00:00:00,M,M,1.0
24477.0,29.0,Warren,Zeng,1961-02-26 00:00:00,S,M,1.0
24478.0,4.0,Lindsay,Sharma,1961-03-05 00:00:00,S,F,1.0
24479.0,7.0,Desirée,Moreno,1961-02-03 00:00:00,S,F,5.0
24480.0,36.0,Kelli,Liu,1958-08-22 00:00:00,S,F,2.0
24481.0,23.0,Dennis,Sun,1958-07-17 00:00:00,M,M,2.0
24482.0,36.0,Roy,Ramos,1958-08-16 00:00:00,M,M,4.0
24483.0,2.0,Arthur,Kapoor,1936-06-16 00:00:00,S,M,2.0
24484.0,28.0,Chad,Anand,1960-07-22 00:00:00,M,M,1.0
24485.0,2.0,Franklin,Ma,1953-09-08 00:00:00,S,M,2.0
24486.0,307.0,Rafael,Zeng,1975-08-22 00:00:00,M,M,0.0
24487.0,55.0,Samantha,Harris,1975-03-11 00:00:00,S,F,0.0
24488.0,68.0,Gavin,Gonzales,1975-02-09 00:00:00,S,M,0.0
24489.0,50.0,Shelby,Murphy,1976-06-08 00:00:00,S,F,0.0
24490.0,611.0,Dwayne,Suarez,1980-04-06 00:00:00,M,M,0.0
24491.0,66.0,Kaitlyn,Russell,1980-05-05 00:00:00,S,F,0.0
24492.0,334.0,Devin,Lopez,1979-04-04 00:00:00,S,M,0.0
24493.0,55.0,Seth,Bennett,1979-03-28 00:00:00,S,M,0.0
24494.0,2.0,Rafael,Zhou,1937-03-05 00:00:00,M,M,2.0
24495.0,25.0,Kellie,Ortega,1937-02-14 00:00:00,S,F,2.0
24496.0,66.0,Katelyn,Mitchell,1978-04-09 00:00:00,S,F,0.0
24497.0,632.0,Abigail,James,1978-03-23 00:00:00,S,F,0.0
24498.0,552.0,Angela,Washington,1978-04-16 00:00:00,S,F,0.0
24499.0,372.0,Olivia,Lewis,1977-12-02 00:00:00,S,F,0.0
24500.0,633.0,Seth,Johnson,1977-11-13 00:00:00,M,M,0.0
24501.0,50.0,Victoria,Garcia,1979-04-28 00:00:00,S,F,0.0
24502.0,13.0,Deb,Price,1940-08-12 00:00:00,M,M,2.0
24503.0,4.0,Laura,Ma,1941-05-26 00:00:00,M,F,2.0
24504.0,5.0,Eddie,Navarro,1941-08-03 00:00:00,M,M,2.0
24505.0,30.0,Clifford,Gonzalez,1943-12-11 00:00:00,M,M,2.0
24506.0,38.0,Jaime,Muñoz,1943-02-20 00:00:00,M,F,2.0
24507.0,614.0,Madison,Garcia,1976-09-07 00:00:00,S,F,0.0
24508.0,545.0,Alex,Phillips,1976-09-13 00:00:00,S,M,0.0
24509.0,641.0,Emma,Long,1976-11-09 00:00:00,S,F,0.0
24510.0,644.0,Christian,Martinez,1976-07-11 00:00:00,M,M,0.0
24511.0,553.0,Logan,Hall,1976-05-02 00:00:00,S,M,0.0
24512.0,302.0,Adrienne,Jiménez,1976-08-13 00:00:00,S,F,0.0
24513.0,310.0,Alejandro,Deng,1976-05-25 00:00:00,M,M,0.0
24514.0,339.0,Jesse,Phillips,1976-03-17 00:00:00,M,M,0.0
24515.0,359.0,Ian,Jones,1976-05-19 00:00:00,S,M,0.0
24516.0,310.0,Rachel,Moore,1975-11-13 00:00:00,S,F,0.0
24517.0,314.0,Brandon,Harris,1974-06-25 00:00:00,S,M,0.0
24518.0,334.0,Stephanie,Allen,1974-04-20 00:00:00,S,F,0.0
24519.0,355.0,Carlos,King,1974-06-13 00:00:00,M,M,0.0
24520.0,301.0,Joseph,Wilson,1973-02-22 00:00:00,M,M,0.0
24521.0,623.0,Jordyn,Wood,1972-09-12 00:00:00,S,F,0.0
24522.0,369.0,Alex,Perez,1968-09-09 00:00:00,M,M,0.0
24523.0,310.0,Mariah,Coleman,1968-04-17 00:00:00,M,F,0.0
24524.0,311.0,Megan,Lewis,1968-05-06 00:00:00,M,F,4.0
24525.0,51.0,James,Nelson,1968-02-02 00:00:00,M,M,4.0
24526.0,335.0,Julian,Barnes,1967-05-28 00:00:00,M,M,2.0
24527.0,368.0,Gavin,Coleman,1967-07-06 00:00:00,M,M,0.0
24528.0,310.0,Katherine,Hernandez,1967-11-13 00:00:00,S,F,0.0
24529.0,299.0,Jillian,Martinez,1967-07-15 00:00:00,S,F,0.0
24530.0,612.0,Franklin,She,1967-02-22 00:00:00,S,M,0.0
24531.0,151.0,Andres,Xie,1958-03-18 00:00:00,M,M,2.0
24532.0,176.0,Phillip,Perez,1958-03-25 00:00:00,M,M,2.0
24533.0,237.0,Blake,Long,1958-08-27 00:00:00,S,M,2.0
24534.0,258.0,Alisha,Luo,1958-07-27 00:00:00,M,F,1.0
24535.0,188.0,David,Shepard,1957-11-21 00:00:00,M,F,2.0
24536.0,133.0,Cynthia,Perez,1957-03-19 00:00:00,M,F,2.0
24537.0,254.0,Cynthia,Saunders,1957-06-28 00:00:00,S,F,2.0
24538.0,215.0,Latasha,Diaz,1956-10-21 00:00:00,S,F,2.0
24539.0,209.0,Colin,Zheng,1956-07-18 00:00:00,S,M,3.0
24540.0,234.0,Janet,Martin,1956-12-16 00:00:00,M,F,3.0
24541.0,271.0,Janet,Sheperdigian,1956-01-24 00:00:00,M,M,3.0
24542.0,194.0,Arturo,Liang,1955-08-11 00:00:00,S,M,2.0
24543.0,218.0,Arthur,Moreno,1955-06-09 00:00:00,S,M,3.0
24544.0,123.0,Kellie,Romero,1955-07-18 00:00:00,S,F,3.0
24545.0,271.0,Douglas,Raman,1955-06-06 00:00:00,S,M,3.0
24546.0,267.0,Adam,Hughes,1954-04-11 00:00:00,M,M,4.0
24547.0,156.0,Dana,Gomez,1944-08-23 00:00:00,S,F,5.0
24548.0,160.0,Crystal,Liu,1944-02-25 00:00:00,M,F,3.0
24549.0,230.0,Darryl,Li,1944-12-24 00:00:00,S,M,3.0
24550.0,247.0,Randy,Ma,1944-10-22 00:00:00,M,M,3.0
24551.0,220.0,Molly,Malhotra,1945-09-19 00:00:00,M,F,3.0
24552.0,222.0,Ross,Carlson,1945-09-24 00:00:00,M,M,5.0
24553.0,120.0,Michele,Ashe,1945-07-15 00:00:00,M,F,5.0
24554.0,256.0,Deanna,Fernandez,1945-05-27 00:00:00,M,F,4.0
24555.0,263.0,Lacey,Chande,1945-02-16 00:00:00,M,F,4.0
24556.0,217.0,Claudia,Yang,1946-11-26 00:00:00,S,F,5.0
24557.0,275.0,Franklin,Lin,1946-03-13 00:00:00,S,M,4.0
24558.0,231.0,Savannah,Brooks,1954-02-03 00:00:00,M,F,3.0
24559.0,226.0,Adrienne,Suarez,1953-06-05 00:00:00,M,F,4.0
24560.0,184.0,Veronica,Fernandez,1954-06-01 00:00:00,M,F,3.0
24561.0,174.0,Megan,Sherman,1954-12-10 00:00:00,S,M,3.0
24562.0,147.0,Ricky,Rubio,1954-10-12 00:00:00,S,M,3.0
24563.0,133.0,Adriana,Rodriguez,1954-04-04 00:00:00,M,F,3.0
24564.0,128.0,Johnny,Andersen,1953-05-27 00:00:00,S,M,3.0
24565.0,135.0,Theodore,Navarro,1952-06-07 00:00:00,S,M,4.0
24566.0,277.0,Kara,Nara,1952-02-22 00:00:00,S,F,4.0
24567.0,199.0,Alison,Deng,1951-05-08 00:00:00,M,F,4.0
24568.0,238.0,Jose,Mitchell,1951-01-14 00:00:00,S,M,4.0
24569.0,262.0,Bob,Gonzalez,1951-02-12 00:00:00,M,M,4.0
24570.0,220.0,Karen,Guo,1950-02-20 00:00:00,S,F,4.0
24571.0,211.0,Roberto,Navarro,1950-08-26 00:00:00,S,M,4.0
24572.0,154.0,Carolyn,Martinez,1950-05-28 00:00:00,M,F,3.0
24573.0,248.0,Colin,Rai,1950-09-16 00:00:00,M,M,4.0
24574.0,240.0,Alison,Yuan,1949-06-04 00:00:00,S,F,4.0
24575.0,241.0,Arturo,Zhu,1949-04-15 00:00:00,S,M,3.0
24576.0,243.0,Jake,Hu,1949-09-16 00:00:00,S,M,4.0
24577.0,276.0,Gilbert,Lal,1948-02-03 00:00:00,S,M,0.0
24578.0,223.0,Meredith,Lopez,1947-04-07 00:00:00,S,F,5.0
24579.0,155.0,Trevor,Alexander,1947-08-05 00:00:00,S,M,3.0
24580.0,161.0,Wesley,Zhao,1947-08-10 00:00:00,M,M,4.0
24581.0,262.0,Reginald,Diaz,1947-10-13 00:00:00,M,M,5.0
24582.0,276.0,Marie,Sai,1947-10-24 00:00:00,M,F,5.0
24583.0,277.0,Roy,Chandra,1947-08-13 00:00:00,S,M,5.0
24584.0,14.0,Ronnie,Liang,1975-08-12 00:00:00,S,M,0.0
24585.0,32.0,Harold,Patel,1975-08-15 00:00:00,M,M,0.0
24586.0,23.0,Jerry,Luo,1975-10-20 00:00:00,S,M,0.0
24587.0,20.0,Suzanne,Sun,1975-09-10 00:00:00,M,F,0.0
24588.0,6.0,Kathryn,Becker,1976-02-07 00:00:00,S,F,0.0
24589.0,22.0,Laura,Zhao,1975-06-11 00:00:00,S,F,0.0
24590.0,19.0,Diana,Alonso,1974-01-04 00:00:00,M,F,0.0
24591.0,27.0,Derek,Pal,1974-05-11 00:00:00,S,M,0.0
24592.0,29.0,Jay,Martinez,1975-10-02 00:00:00,S,M,0.0
24593.0,18.0,Destiny,Watson,1974-09-06 00:00:00,M,F,0.0
24594.0,23.0,Franklin,Yuan,1974-03-23 00:00:00,M,M,0.0
24595.0,5.0,Kelvin,Wu,1973-05-13 00:00:00,S,M,0.0
24596.0,19.0,Heather,Zhao,1973-10-03 00:00:00,M,F,0.0
24597.0,18.0,Lee,Dominguez,1974-10-18 00:00:00,S,M,0.0
24598.0,31.0,Irma,Sherwood,1974-09-03 00:00:00,S,M,0.0
24599.0,37.0,Virginia,Garcia,1974-08-22 00:00:00,M,F,4.0
24600.0,34.0,Lisa,Li,1973-01-24 00:00:00,M,F,0.0
24601.0,34.0,Natasha,Munoz,1973-03-18 00:00:00,S,F,0.0
24602.0,11.0,Preston,Garcia,1973-06-18 00:00:00,S,M,0.0
24603.0,25.0,Jake,Zhu,1972-12-25 00:00:00,S,M,0.0
24604.0,18.0,Melvin,Rai,1972-01-09 00:00:00,M,M,0.0
24605.0,27.0,Roger,Wang,1972-06-16 00:00:00,S,M,0.0
24606.0,36.0,Cassie,Nath,1972-10-02 00:00:00,M,F,0.0
24607.0,26.0,Kristine,Ruiz,1971-01-14 00:00:00,S,F,0.0
24608.0,24.0,Katrina,Nara,1972-10-02 00:00:00,M,F,0.0
24609.0,34.0,Jenny,Zhang,1972-04-10 00:00:00,M,F,0.0
24610.0,3.0,Troy,Kapoor,1972-11-06 00:00:00,S,M,4.0
24611.0,28.0,Pedro,Suarez,1971-08-27 00:00:00,S,M,0.0
24612.0,40.0,Devon,Chander,1970-06-05 00:00:00,S,M,0.0
24613.0,36.0,Stacy,Serrano,1970-09-23 00:00:00,M,F,0.0
24614.0,37.0,Lindsey,Raje,1970-08-15 00:00:00,M,F,0.0
24615.0,35.0,Dwayne,Ortega,1971-05-19 00:00:00,M,M,0.0
24616.0,358.0,Zoe,Cook,1949-10-23 00:00:00,M,F,4.0
24617.0,612.0,Kelsey,She,1948-10-17 00:00:00,M,F,4.0
24618.0,307.0,Brett,Gonzalez,1948-12-11 00:00:00,M,M,4.0
24619.0,316.0,Shelby,Kelly,1948-02-17 00:00:00,S,F,4.0
24620.0,322.0,Olivia,Morgan,1948-02-22 00:00:00,M,F,4.0
24621.0,49.0,Chad,Shan,1937-02-03 00:00:00,M,M,4.0
24622.0,553.0,Blake,Hall,1937-06-13 00:00:00,M,M,3.0
24623.0,609.0,Beth,Torres,1938-03-18 00:00:00,M,F,3.0
24624.0,322.0,Allison,Murphy,1938-03-27 00:00:00,M,F,3.0
24625.0,49.0,Yolanda,Nath,1938-06-13 00:00:00,M,F,3.0
24626.0,336.0,Seth,Bryant,1938-04-27 00:00:00,M,M,3.0
24627.0,53.0,Eric,Edwards,1939-10-24 00:00:00,S,M,3.0
24628.0,336.0,David,Walker,1939-08-11 00:00:00,S,M,3.0
24629.0,348.0,Seth,Perry,1939-09-13 00:00:00,M,M,3.0
24630.0,71.0,Brianna,Howard,1939-04-16 00:00:00,M,F,3.0
24631.0,310.0,Hannah,Powell,1939-01-01 00:00:00,S,F,3.0
24632.0,644.0,Catherine,James,1940-05-20 00:00:00,S,F,3.0
24633.0,552.0,Xavier,Cook,1940-09-13 00:00:00,M,M,3.0
24634.0,611.0,Crystal,He,1940-04-05 00:00:00,M,F,3.0
24635.0,361.0,Gabrielle,Rogers,1940-10-14 00:00:00,S,F,3.0
24636.0,542.0,Anna,Ward,1940-05-02 00:00:00,M,F,3.0
24637.0,64.0,Nathan,Flores,1941-11-08 00:00:00,M,M,4.0
24638.0,348.0,Julia,Lopez,1941-10-12 00:00:00,S,F,4.0
24639.0,50.0,Ian,Moore,1941-11-06 00:00:00,M,M,3.0
24640.0,300.0,Lisa,Yang,1941-08-22 00:00:00,S,F,4.0
24641.0,331.0,Sarah,Powell,1943-09-20 00:00:00,M,F,4.0
24642.0,552.0,Edward,Russell,1943-11-08 00:00:00,S,M,4.0
24643.0,374.0,Jada,Campbell,1943-07-27 00:00:00,S,F,4.0
24644.0,316.0,Samuel,Johnston,1943-11-07 00:00:00,M,M,4.0
24645.0,612.0,Bryce,Murphy,1943-04-20 00:00:00,M,M,4.0
24646.0,62.0,Juan,Murphy,1944-07-12 00:00:00,M,M,4.0
24647.0,53.0,Jose,Simmons,1944-04-26 00:00:00,S,M,5.0
24648.0,326.0,Amanda,King,1944-11-11 00:00:00,S,F,5.0
24649.0,53.0,Aaron,Washington,1947-02-11 00:00:00,M,M,4.0
24650.0,336.0,Julia,Baker,1945-03-07 00:00:00,S,F,5.0
24651.0,631.0,Dakota,Alexander,1945-04-07 00:00:00,S,M,5.0
24652.0,614.0,Luke,Butler,1945-06-16 00:00:00,S,M,5.0
24653.0,626.0,Victoria,Barnes,1946-04-16 00:00:00,M,F,5.0
24654.0,329.0,Paige,Simmons,1946-10-13 00:00:00,S,F,5.0
24655.0,301.0,Taylor,Sanders,1946-11-16 00:00:00,M,F,5.0
24656.0,310.0,Julia,Moore,1946-07-03 00:00:00,M,F,5.0
24657.0,642.0,Alyssa,Brooks,1947-06-05 00:00:00,M,F,2.0
24658.0,642.0,Jenna,Perez,1947-05-17 00:00:00,M,F,2.0
24659.0,66.0,Kaitlyn,Hill,1947-02-01 00:00:00,M,F,2.0
24660.0,383.0,Anna,Perry,1947-11-27 00:00:00,S,F,2.0
24661.0,50.0,Madison,Jones,1947-06-22 00:00:00,S,F,2.0
24662.0,372.0,Arianna,Price,1947-05-24 00:00:00,S,F,2.0
24663.0,49.0,Ebony,Fernandez,1948-02-18 00:00:00,S,F,2.0
24664.0,51.0,Ian,Washington,1948-05-13 00:00:00,M,M,2.0
24665.0,56.0,Angela,Morgan,1948-04-06 00:00:00,S,F,2.0
24666.0,60.0,Hannah,Martinez,1948-05-11 00:00:00,M,F,2.0
24667.0,637.0,Chloe,Diaz,1948-06-24 00:00:00,S,F,2.0
24668.0,312.0,Katrina,Xu,1948-02-20 00:00:00,M,F,2.0
24669.0,361.0,Xavier,Parker,1948-09-19 00:00:00,M,M,4.0
24670.0,369.0,Alexandria,Ross,1948-03-02 00:00:00,S,F,4.0
24671.0,56.0,Christian,Perry,1949-11-14 00:00:00,M,M,2.0
24672.0,642.0,Jeremy,Cook,1949-10-14 00:00:00,M,M,2.0
24673.0,345.0,Paige,Cox,1949-11-08 00:00:00,M,F,4.0
24674.0,372.0,Dylan,Kumar,1949-08-27 00:00:00,M,M,5.0
24675.0,383.0,Jackson,Nelson,1949-07-04 00:00:00,S,M,5.0
24676.0,637.0,Jeremy,Roberts,1950-06-11 00:00:00,M,M,2.0
24677.0,302.0,Blake,Lee,1950-02-15 00:00:00,M,M,2.0
24678.0,312.0,Nathan,Long,1950-08-26 00:00:00,S,M,2.0
24679.0,347.0,Wyatt,Hernandez,1950-02-06 00:00:00,M,M,4.0
24680.0,359.0,Thomas,Flores,1950-09-19 00:00:00,S,M,3.0
24681.0,368.0,Arianna,Murphy,1950-05-06 00:00:00,S,F,3.0
24682.0,56.0,Faith,Rogers,1951-12-22 00:00:00,M,F,2.0
24683.0,302.0,Shannon,Alonso,1951-05-19 00:00:00,M,M,2.0
24684.0,326.0,Charles,Martin,1951-04-21 00:00:00,M,M,2.0
24685.0,336.0,Jordan,Kumar,1951-06-03 00:00:00,M,M,2.0
24686.0,359.0,Melissa,Murphy,1952-07-18 00:00:00,S,F,2.0
24687.0,616.0,Joan,Ross,1952-08-18 00:00:00,S,F,2.0
24688.0,359.0,Ashley,Long,1953-02-03 00:00:00,M,F,3.0
24689.0,229.0,Sandra,Ye,1974-01-26 00:00:00,M,F,0.0
24690.0,155.0,Christian,Long,1980-03-10 00:00:00,S,M,0.0
24691.0,147.0,Meredith,Carlson,1980-05-17 00:00:00,M,F,0.0
24692.0,147.0,Laura,He,1980-03-08 00:00:00,M,F,0.0
24693.0,208.0,Alexandra,Rogers,1979-10-16 00:00:00,S,F,0.0
24694.0,126.0,Theodore,Carlson,1978-10-06 00:00:00,S,M,0.0
24695.0,223.0,Omar,Zhou,1978-11-02 00:00:00,S,M,0.0
24696.0,138.0,Tasha,Xie,1978-10-26 00:00:00,S,F,0.0
24697.0,255.0,Manuel,Rodriguez,1974-11-14 00:00:00,M,M,1.0
24698.0,131.0,Blake,Carter,1973-05-23 00:00:00,S,M,0.0
24699.0,269.0,Rebekah,Rubio,1972-10-13 00:00:00,S,F,0.0
24700.0,211.0,Gary,Alvarez,1973-03-28 00:00:00,S,M,0.0
24701.0,194.0,Marco,Fernandez,1973-04-14 00:00:00,M,M,1.0
24702.0,249.0,Kari,Ramos,1973-06-27 00:00:00,S,F,0.0
24703.0,269.0,Jonathan,White,1972-07-08 00:00:00,M,M,0.0
24704.0,172.0,Allen,Schmidt,1972-03-13 00:00:00,M,M,0.0
24705.0,252.0,Daniel,Shimshoni,1972-03-18 00:00:00,S,F,0.0
24706.0,156.0,Virginia,Rana,1972-02-08 00:00:00,S,F,0.0
24707.0,207.0,Shaun,Pal,1972-08-18 00:00:00,S,M,0.0
24708.0,207.0,Corey,Chander,1972-07-27 00:00:00,S,M,0.0
24709.0,184.0,Nancy,Prasad,1972-09-18 00:00:00,M,F,1.0
24710.0,124.0,Brandy,Malhotra,1972-06-14 00:00:00,M,F,1.0
24711.0,138.0,Rebekah,Hernandez,1972-04-22 00:00:00,S,F,1.0
24712.0,233.0,Carly,Kumar,1972-04-04 00:00:00,M,F,2.0
24713.0,207.0,Jeremy,Brooks,1916-07-05 00:00:00,S,M,4.0
24714.0,237.0,Whitney,Rodriguez,1971-09-25 00:00:00,S,F,0.0
24715.0,223.0,Kelli,Nath,1971-03-04 00:00:00,S,F,0.0
24716.0,160.0,Colin,Liu,1971-10-17 00:00:00,M,M,0.0
24717.0,121.0,Damien,Anand,1971-06-20 00:00:00,S,M,0.0
24718.0,145.0,Terrence,Black,1971-06-08 00:00:00,S,M,2.0
24719.0,132.0,Susan,Zheng,1971-04-15 00:00:00,M,F,2.0
24720.0,233.0,Deanna,Alvarez,1971-11-03 00:00:00,S,F,2.0
24721.0,253.0,Mandy,Zheng,1971-11-06 00:00:00,M,F,2.0
24722.0,162.0,Hunter,Ross,1970-03-15 00:00:00,S,M,2.0
24723.0,177.0,Shawna,Pal,1970-08-07 00:00:00,M,F,2.0
24724.0,201.0,Alfredo,Gutierrez,1970-12-14 00:00:00,M,M,2.0
24725.0,542.0,Bailey,Young,1975-05-05 00:00:00,M,F,3.0
24726.0,552.0,Marissa,Hughes,1975-06-06 00:00:00,M,F,3.0
24727.0,612.0,Mallory,Jimenez,1974-03-03 00:00:00,M,F,3.0
24728.0,360.0,Julia,Diaz,1974-08-11 00:00:00,S,F,0.0
24729.0,55.0,Chase,Murphy,1974-07-26 00:00:00,S,M,0.0
24730.0,58.0,Anthony,Moore,1975-11-03 00:00:00,M,M,4.0
24731.0,62.0,Evan,Mitchell,1975-10-14 00:00:00,M,M,4.0
24732.0,546.0,Wyatt,Davis,1930-11-25 00:00:00,M,M,1.0
24733.0,52.0,Luke,Flores,1966-06-23 00:00:00,S,M,0.0
24734.0,612.0,Jack,Turner,1966-10-05 00:00:00,S,M,0.0
24735.0,307.0,Madison,Powell,1966-05-14 00:00:00,S,F,0.0
24736.0,543.0,Savannah,Ramirez,1954-01-18 00:00:00,S,F,3.0
24737.0,633.0,Angela,Bailey,1954-10-12 00:00:00,S,F,3.0
24738.0,325.0,Hannah,Davis,1954-09-17 00:00:00,M,F,1.0
24739.0,343.0,Dalton,Sanders,1954-03-13 00:00:00,M,M,1.0
24740.0,609.0,Shelby,Cooper,1955-07-14 00:00:00,S,F,3.0
24741.0,644.0,Brittany,Perry,1955-06-09 00:00:00,S,F,3.0
24742.0,316.0,Rachel,Ramirez,1955-03-14 00:00:00,S,F,1.0
24743.0,641.0,Chloe,Coleman,1956-05-26 00:00:00,S,F,2.0
24744.0,49.0,Brendan,Yuan,1956-05-15 00:00:00,M,M,2.0
24745.0,352.0,Jennifer,Ward,1956-10-10 00:00:00,S,F,2.0
24746.0,52.0,Ian,Russell,1957-08-14 00:00:00,S,M,2.0
24747.0,300.0,Dakota,Powell,1957-08-25 00:00:00,S,M,2.0
24748.0,50.0,Jose,Collins,1957-04-26 00:00:00,M,M,2.0
24749.0,311.0,Marshall,Guo,1957-09-27 00:00:00,M,M,2.0
24750.0,352.0,Destiny,Barnes,1957-11-13 00:00:00,M,F,2.0
24751.0,616.0,Angela,Howard,1957-03-19 00:00:00,M,F,2.0
24752.0,609.0,Cameron,Jackson,1958-11-02 00:00:00,S,M,2.0
